SymmetricIProfile,,,,,
CatalogueName,Depth,Width,WebThickness,FlangeThickness,RootRadius
RHS 300x150x8.8 # rr,0.3,0.15,0.0088,0.0088,
RHS 300x150x10 # rr,0.3,0.15,0.01,0.01,
RHS 300x150x12.5 # rr,0.3,0.15,0.0125,0.0125,
RHS 300x150x14.2 # rr,0.3,0.15,0.0142,0.0142,
RHS 300x150x16 # rr,0.3,0.15,0.016,0.016,
RHS 300x200x5 #,0.3,0.2,0.005,0.005,
RHS 300x200x6.3,0.3,0.2,0.0063,0.0063,
RHS 300x200x7.1 #,0.3,0.2,0.0071,0.0071,
RHS 300x200x8,0.3,0.2,0.008,0.008,
RHS 300x200x8.8 #,0.3,0.2,0.0088,0.0088,
RHS 300x200x10,0.3,0.2,0.01,0.01,
RHS 300x200x12.5,0.3,0.2,0.0125,0.0125,
RHS 300x200x14.2 #,0.3,0.2,0.0142,0.0142,
RHS 300x200x16,0.3,0.2,0.016,0.016,
RHS 300x250x5 #,0.3,0.25,0.005,0.005,
RHS 300x250x6.3 #,0.3,0.25,0.0063,0.0063,
RHS 300x250x7.1 #,0.3,0.25,0.0071,0.0071,
RHS 300x250x8,0.3,0.25,0.008,0.008,
RHS 300x250x8.8 #,0.3,0.25,0.0088,0.0088,
RHS 300x250x10 #,0.3,0.25,0.01,0.01,
RHS 300x250x12.5 #,0.3,0.25,0.0125,0.0125,
RHS 300x250x14.2 #,0.3,0.25,0.0142,0.0142,
RHS 300x250x16 #,0.3,0.25,0.016,0.016,
RHS 340x100x10,0.34,0.1,0.01,0.01,
RHS 350x150x5 #,0.35,0.15,0.005,0.005,
RHS 350x150x6.3 #,0.35,0.15,0.0063,0.0063,
RHS 350x150x7.1 #,0.35,0.15,0.0071,0.0071,
RHS 350x150x8 #,0.35,0.15,0.008,0.008,
RHS 350x150x8.8 #,0.35,0.15,0.0088,0.0088,
RHS 350x150x10 #,0.35,0.15,0.01,0.01,
RHS 350x150x12.5 #,0.35,0.15,0.0125,0.0125,
RHS 350x150x14.2 #,0.35,0.15,0.0142,0.0142,
RHS 350x150x16 #,0.35,0.15,0.016,0.016,
RHS 350x250x6.3 #,0.35,0.25,0.0063,0.0063,
RHS 350x250x7.1 #,0.35,0.25,0.0071,0.0071,
RHS 350x250x8 #,0.35,0.25,0.008,0.008,
